channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
uniform,0.1,,4,8,1,10000,13872391002632971562,0.999500,0.000300,8.820,11.271,2.630,5.169,,,173248,11.240
uniform,0.1,,4,8,1,10000,5056120824286144233,0.999500,0.000350,8.770,11.502,2.611,6.643,,,173248,11.240
uniform,0.1,,4,8,1,10000,3169714750279830236,0.999700,0.000225,8.784,11.202,2.622,4.558,,,173248,11.240
uniform,0.2,,4,8,1,10000,3765050183475501031,0.989500,0.006775,8.754,11.141,2.995,6.662,,,173248,11.240
uniform,0.2,,4,8,1,10000,16590503159524365631,0.988900,0.006900,8.727,11.011,2.952,6.653,,,173248,11.240
uniform,0.2,,4,8,1,10000,11425038673828113384,0.989300,0.006875,8.496,9.308,2.921,6.442,,,173248,11.240
uniform,0.3,,4,8,1,10000,6839433648391633061,0.939800,0.039125,8.514,9.548,3.238,6.442,,,173248,11.240
uniform,0.3,,4,8,1,10000,15650535112834532713,0.942400,0.037275,8.587,10.791,3.315,6.963,,,173248,11.240
uniform,0.3,,4,8,1,10000,1927646979947748656,0.943600,0.036500,8.492,9.488,3.219,6.442,,,173248,11.240
ge,2,100,4,8,1,10000,15697442691682136402,0.996800,0.002375,8.490,9.629,3.298,8.586,,,173248,11.240
ge,2,100,4,8,1,10000,4682465208168209577,0.996300,0.002425,8.495,9.388,3.325,8.556,,,173248,11.240
ge,2,100,4,8,1,10000,8553819918012863291,0.996600,0.002375,8.484,9.698,3.857,8.607,,,173248,11.240
ge,5,100,4,8,1,10000,10183623627489950170,0.965700,0.027925,8.492,9.608,4.256,8.567,,,173248,11.240
ge,5,100,4,8,1,10000,6527910054327035,0.970800,0.023150,8.483,9.558,4.394,8.606,,,173248,11.240
ge,5,100,4,8,1,10000,10354484457318385761,0.967500,0.026450,8.493,9.578,4.240,8.606,,,173248,11.240
ge,10,100,4,8,1,10000,12627503759148721397,0.919000,0.071025,8.478,9.108,4.719,8.557,,,173248,11.240
ge,10,100,4,8,1,10000,10492005530486593313,0.920300,0.070350,8.492,9.418,4.579,8.567,,,173248,11.240
ge,10,100,4,8,1,10000,2561056217905277190,0.919100,0.072000,8.479,9.178,4.836,8.576,,,173248,11.240
ge,20,100,4,8,1,10000,6858604327268639740,0.835800,0.153275,8.481,9.147,5.210,8.676,,,173248,11.240
ge,20,100,4,8,1,10000,16034574342408569573,0.853600,0.136300,8.480,9.288,4.882,8.576,,,173248,11.240
ge,20,100,4,8,1,10000,10350846036792951792,0.859700,0.129625,8.482,9.177,5.223,8.617,,,173248,11.240
ge,2,1000,4,8,1,10000,2778580523826456343,0.999900,0.000100,8.475,9.087,3.148,6.542,,,173248,11.240
ge,2,1000,4,8,1,10000,16883431196143811116,0.999800,0.000125,8.483,9.117,3.476,6.563,,,173248,11.240
ge,2,1000,4,8,1,10000,18415686118261108413,0.999600,0.000325,8.469,9.057,4.031,8.627,,,173248,11.240
