channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
ge,2,1000,8,12,8,10000,11643058822703392603,1.000000,0.000000,17.068,21.070,4.478,5.730,0.416,0.697,302784,102.280
ge,5,1000,8,12,8,10000,15964630129446768935,0.999600,0.000150,16.995,20.128,5.268,12.814,0.413,0.646,302784,102.280
ge,5,1000,8,12,8,10000,9447472290502799373,1.000000,0.000000,17.564,22.843,5.755,18.164,0.499,0.782,302784,102.280
ge,5,1000,8,12,8,10000,9553603530983313536,1.000000,0.000000,17.386,21.501,5.056,9.248,0.458,0.788,302784,102.280
ge,10,1000,8,12,8,10000,8309992516468313433,0.999700,0.000112,17.040,20.850,6.418,13.115,0.420,0.731,302784,102.280
ge,10,1000,8,12,8,10000,12015586512222903730,0.998300,0.000862,17.104,21.070,6.937,17.873,0.420,0.701,302784,102.280
ge,10,1000,8,12,8,10000,11607471990954128010,0.999200,0.000737,17.113,21.090,8.357,19.527,0.462,0.735,302784,102.280
ge,20,1000,8,12,8,10000,14121630210344950892,0.991900,0.004925,17.159,21.381,8.846,17.754,0.431,0.796,302784,102.280
ge,20,1000,8,12,8,10000,8390678554089956980,0.987100,0.007687,17.139,22.162,8.259,17.312,0.432,0.665,302784,102.280
ge,20,1000,8,12,8,10000,12030603151280437794,0.986800,0.008175,16.977,20.448,7.945,17.323,0.426,0.604,302784,102.280
periodic,5,1,8,12,8,10000,6207833858243225106,1.000000,0.000000,16.960,20.068,6.894,9.538,0.328,0.476,302784,102.280
periodic,5,1,8,12,8,10000,17563910628828972251,1.000000,0.000000,16.947,20.158,6.876,9.508,0.329,0.491,302784,102.280
periodic,5,1,8,12,8,10000,4846423084981794302,1.000000,0.000000,16.976,19.988,6.892,9.538,0.332,0.452,302784,102.280
periodic,10,1,8,12,8,10000,18184598803170208200,1.000000,0.000000,16.963,20.379,6.889,9.918,0.329,0.476,302784,102.280
periodic,10,1,8,12,8,10000,7376750812791847170,1.000000,0.000000,16.963,20.459,6.891,10.090,0.327,0.488,302784,102.280
periodic,10,1,8,12,8,10000,5552608623861167972,1.000000,0.000000,16.933,20.018,6.882,9.188,0.325,0.402,302784,102.280
periodic,20,1,8,12,8,10000,9862925615663886551,1.000000,0.000000,16.917,19.777,6.900,9.568,0.327,0.464,302784,102.280
periodic,20,1,8,12,8,10000,10939832885466090230,1.000000,0.000000,17.014,21.049,6.925,10.450,0.331,0.516,302784,102.280
periodic,20,1,8,12,8,10000,4518359080166242533,1.000000,0.000000,16.970,20.148,6.905,9.719,0.336,0.531,302784,102.280
uniform,0.01,,4,8,1,10000,16230492970859607859,1.000000,0.000000,8.501,9.559,2.216,2.485,,,173248,11.240
uniform,0.01,,4,8,1,10000,5950900637516809035,1.000000,0.000000,8.498,9.568,2.221,2.815,,,173248,11.240
uniform,0.01,,4,8,1,10000,11721083611195525884,1.000000,0.000000,8.477,9.187,2.231,4.318,,,173248,11.240
uniform,0.05,,4,8,1,10000,14932416930386665330,1.000000,0.000000,8.501,10.560,2.355,4.509,,,173248,11.240
uniform,0.05,,4,8,1,10000,5987860720739485046,1.000000,0.000000,8.927,14.768,2.518,5.461,,,173248,11.240
uniform,0.05,,4,8,1,10000,4273135710000567053,0.999900,0.000050,8.592,11.291,2.394,4.528,,,173248,11.240
uniform,0.1,,4,8,1,10000,13872391002632971562,0.999500,0.000300,8.731,14.768,2.614,6.452,,,173248,11.240
uniform,0.1,,4,8,1,10000,5056120824286144233,0.999500,0.000350,8.808,14.768,2.634,6.542,,,173248,11.240
uniform,0.1,,4,8,1,10000,3169714750279830236,0.999700,0.000225,8.558,11.051,2.558,5.129,,,173248,11.240
uniform,0.2,,4,8,1,10000,3765050183475501031,0.989500,0.006775,8.533,10.820,2.969,6.452,,,173248,11.240
uniform,0.2,,4,8,1,10000,16590503159524365631,0.988900,0.006900,8.594,10.981,2.916,6.472,,,173248,11.240
uniform,0.2,,4,8,1,10000,11425038673828113384,0.989300,0.006875,8.625,10.871,2.989,6.492,,,173248,11.240
uniform,0.3,,4,8,1,10000,6839433648391633061,0.939800,0.039125,8.824,13.135,3.403,8.016,,,173248,11.240
uniform,0.3,,4,8,1,10000,15650535112834532713,0.942400,0.037275,8.646,12.173,3.307,6.733,,,173248,11.240
uniform,0.3,,4,8,1,10000,1927646979947748656,0.943600,0.036500,8.723,14.458,3.331,7.664,,,173248,11.240
